ID	SPQ1	SPQ2	SPQ3	SPQ4	SPQ5	SPQ6	SPQ7	SPQ8	SPQ9	SPQ10	SPQ11	SPQ12	SPQ13	SPQ14	SPQ15	SPQ16	SPQ17	SPQ18	SPQ19	SPQ20
1127	2	3	5	5	4	3	3	4	4	3	4	4	4	3	4	5	2	3	4	4
1128	2	2	5	5	2	2	1	5	1	5	5	5	4	1	3	5	1	1	5	5
1129	4	4	2	5	3	3	2	3	2	4	3	3	4	1	2	1	2	4	1	3
1130	3	4	4	4	4	3	2	5	3	3	3	3	4	4	2	4	2	4	3	3
1131	1	4	4	4	4	4	1	2	1	2	4	5	2	2	5	5	1	2	5	4
1132	2	3	2	4	5	5	2	5	5	4	3	2	5	5	1	1	5	5	4	5
1133	5	2	4	4	5	5	3	5	3	5	2	3	5	5	3	4	1	4	3	5
1134	4	3	2	4	3	4	1	4	2	5	4	2	3	3	1	5	3	5	4	1
1135	5	4	3	4	5	4	3	5	3	5	4	3	4	3	3	5	4	4	5	5
1136	4	5	1	1	2	4	1	2	2	4	2	1	3	2	2	4	4	4	3	2
1137	2	4	1	3	5	3	1	1	3	3	3	3	4	4	2	3	4	3	4	4
1138	3	3	5	5	4	3	3	3	2	3	4	4	4	3	5	5	3	3	5	5
1139	3	4	2	2	2	2	2	3	2	4	3	3	3	2	1	3	3	3	3	2
1140	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	3	3	3	4	5
1141	4	2	2	3	2	3	3	3	3	3	3	3	3	3	3	2	3	2	4	2
1142	1	3	3	3	3	2	3	1	1	1	2	3	4	3	4	3	3	3	3	3
1143	4	3	1	1	1	4	1	1	3	3	1	2	3	2	1	2	2	5	2	1
1144	4	4	1	2	5	3	2	4	4	4	2	2	3	4	3	4	2	2	2	4
1145	3	4	1	3	3	3	1	4	3	3	2	2	4	2	2	2	2	3	3	2
1146	4	4	3	4	2	4	3	3	2	4	3	4	3	3	2	2	2	2	5	3
1147	3	2	3	4	3	1	3	4	2	3	4	4	3	2	1	4	2	3	4	4
1148	3	4	5	5	3	3	2	3	4	5	4	4	3	1	3	3	2	4	5	2
1149	3	2	2	4	2	2	2	4	1	2	3	3	3	1	3	3	2	2	2	4
1150	3	4	1	1	4	4	2	4	4	4	1	2	5	2	2	3	1	3	3	1
1151	4	4	1	2	3	2	1	2	3	5	2	2	3	1	1	5	5	5	4	4
1152	3	2	1	2	3	3	1	3	3	5	2	1	4	3	1	1	3	4	1	3
1153	4	3	1	3	1	3	1	4	1	3	2	3	4	3	2	4	2	4	3	3
1154	4	5	1	2	3	3	2	4	5	4	2	1	4	4	1	3	2	4	2	1
1155	3	4	1	4	3	3	1	3	2	2	4	4	3	3	3	2	3	4	2	5
1156	4	4	2	2	4	3	1	4	2	4	4	2	4	2	2	2	2	4	1	2
1157	2	3	4	1	2	3	2	2	4	4	3	1	3	3	1	4	3	3	4	1
1158	4	4	2	4	4	4	3	4	2	4	4	1	4	3	3	5	4	3	2	1
